cell_id,capacity,init
0,70,31
1,295,130
2,101,45
3,214,94
4,370,163
5,333,148
6,475,210
7,142,63
8,211,94
9,366,162
10,257,113
11,74,33
12,123,54
13,251,111
14,275,121
15,403,179
16,119,52
17,249,109
18,39,17
19,122,54
20,249,110
21,225,98
22,234,102
23,132,57
24,173,76
25,125,54
26,210,93
27,25,11
28,23,10
29,72,30
30,185,79
31,206,92
32,174,76
33,79,35
34,179,78
35,21,9
36,198,87
37,263,114
38,277,122
39,475,211
40,40,18
41,462,204
42,478,211
43,674,300
44,686,304
45,465,207
46,265,117
47,628,278
48,184,82
49,52,23
50,752,334
51,354,156
52,87,38
53,201,90
54,204,91
55,83,35
56,243,108
57,127,56
58,27,12
59,149,64
60,204,90
61,72,32
62,132,58
63,23,10
64,80,34
65,549,214
66,508,205
67,616,274
68,699,310
69,418,185
70,330,145
71,88,39
72,82,35
73,89,38
74,137,60
75,141,61
76,114,50
77,105,45
78,19,8
79,173,76
80,189,84
81,413,185
82,392,174
83,154,68
84,172,76
85,281,121
86,168,73
87,36,15
88,174,77
89,127,56
90,224,98
91,180,79
92,231,101
93,214,93
94,223,97
95,90,39
96,186,80
97,44,19
98,168,71
99,154,68
100,152,67
101,55,24
102,96,40
103,179,78
104,146,64
105,74,33
106,89,39
107,258,113
108,183,79
109,209,92
110,27,12
111,23,10
112,74,31
113,39,17
114,50,22
115,109,47
116,121,53
117,208,90
118,153,67
119,21,9
120,137,60
121,31,14
122,31,14
123,18,8
124,18,8
125,31,14
126,18,8
127,18,8
128,14,6
129,36,15
130,72,31
131,28,12
132,50,21
133,98,41
134,52,23
135,156,70
136,440,196
137,18,8
138,32,14
139,14,6
140,92,39
141,36,16
142,127,39
143,463,207
144,148,65
145,456,203
146,238,104
147,62,28
148,536,237
149,179,48
150,113,50
151,170,74
152,177,78
153,101,43
154,471,207
155,263,115
156,31,14
157,36,15
158,31,14
159,31,14
160,498,220
161,307,137
162,47,20
163,458,202
164,551,244
165,442,195
166,387,170
167,166,73
168,189,83
169,89,39
170,299,132
171,36,16
172,53,23
173,230,101
174,79,35
175,75,33
176,72,31
177,166,70
178,32,14
179,33,14
180,93,42
181,226,99
182,53,23
183,286,128
184,248,109
185,56,25
186,215,94
187,74,33
188,184,80
189,31,14
190,149,65
191,62,28
192,186,84
